,clusters,inertia,model
0,1,20280796.0,"KMeans(init='random', n_clusters=1, random_state=42)"
1,2,9427253.0,"KMeans(init='random', n_clusters=2, random_state=42)"
2,3,6199681.0,"KMeans(init='random', n_clusters=3, random_state=42)"
3,4,4076759.5,"KMeans(init='random', n_clusters=4, random_state=42)"
4,5,2447199.5,"KMeans(init='random', n_clusters=5, random_state=42)"
5,6,1935887.5,"KMeans(init='random', n_clusters=6, random_state=42)"
6,7,1110601.375,"KMeans(init='random', n_clusters=7, random_state=42)"
7,8,894885.3125,"KMeans(init='random', random_state=42)"
8,9,676098.375,"KMeans(init='random', n_clusters=9, random_state=42)"
9,10,448728.75,"KMeans(init='random', n_clusters=10, random_state=42)"
10,11,335711.65625,"KMeans(init='random', n_clusters=11, random_state=42)"
11,12,247532.8125,"KMeans(init='random', n_clusters=12, random_state=42)"
12,13,187772.203125,"KMeans(init='random', n_clusters=13, random_state=42)"
13,14,139728.59375,"KMeans(init='random', n_clusters=14, random_state=42)"
14,15,76718.40625,"KMeans(init='random', n_clusters=15, random_state=42)"
15,16,93315.53125,"KMeans(init='random', n_clusters=16, random_state=42)"
16,17,67555.15625,"KMeans(init='random', n_clusters=17, random_state=42)"
17,18,27387.40625,"KMeans(init='random', n_clusters=18, random_state=42)"
18,19,16291.71875,"KMeans(init='random', n_clusters=19, random_state=42)"
19,20,12221.59375,"KMeans(init='random', n_clusters=20, random_state=42)"
20,21,7724.34375,"KMeans(init='random', n_clusters=21, random_state=42)"
21,22,5495.71875,"KMeans(init='random', n_clusters=22, random_state=42)"
22,23,3260.65625,"KMeans(init='random', n_clusters=23, random_state=42)"
23,24,1406.28125,"KMeans(init='random', n_clusters=24, random_state=42)"
24,25,230.40625,"KMeans(init='random', n_clusters=25, random_state=42)"
